trials.label	trials.startVal	trials.stepSizes	trials.maxVal	trials.minVal	trials.thisIndex	trials.thisRepN	trials.thisN	trials.direction	trials.stepSize	trials.stepType	trials.intensity	key_resp.corr	trials.response	participant	session	date	expName	psychopyVersion	frameRate
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	119	118	up	0.005	db	0.051757108	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	120	119	up	0.005	db	0.051786911	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	121	120	up	0.005	db	0.051786911	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	122	121	up	0.005	db	0.05181673	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	123	122	up	0.005	db	0.05181673	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	124	123	up	0.005	db	0.05181673	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	125	124	down	0.005	db	0.051786911	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	126	125	down	0.005	db	0.051786911	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	127	126	up	0.005	db	0.05181673	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	128	127	up	0.005	db	0.051846567	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	129	128	up	0.005	db	0.051876421	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
